time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,vwaprizz14,vwaprizz14_ema,Plot,Plot,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line,buy,sell_sig,sell_sig,sell_sig,sell_sig,test,RSI
1378315800,8.18,8.18,8.04,8.04,8.221474720015681,8.055000000000017,8.666666666666664,NaN,NaN,359,364.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.89183644089384,27.536727318549328,30.89183644089384,27.536727318549328,32.688393365640096,50,90,10,0,0,0,0,0,1,32.688393365640096
1378924200,8.29,8.3,8.29,8.3,8.237179776012544,8.175000000000017,8.664999999999997,NaN,NaN,700,394.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.2742588857586,27.901731527510563,30.2742588857586,27.901731527510563,76.38383703157218,50,90,10,0,0,0,0,0,1,76.38383703157218
1379082600,8.155,8.155,8.155,8.155,8.220743820810036,8.168750000000017,8.665166666666664,NaN,NaN,100,394.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.012770282167935,29.516536694798212,40.012770282167935,29.516536694798212,44.30478697015792,50,90,10,0,0,0,0,0,1,44.30478697015792
1379089800,8.2,8.2,8.2,8.2,8.216595056648028,8.173750000000018,8.647166666666664,NaN,NaN,100,394.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.54744780157934,31.520658175702362,44.54744780157934,31.520658175702362,55.82101529369086,50,90,10,0,0,0,0,0,1,55.82101529369086
1379961000,8.5,8.5,8.5,8.5,8.273276045318422,8.288750000000018,8.630499999999996,NaN,NaN,100,394.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.91904154129528,33.173775957781416,43.91904154129528,33.173775957781416,88.24077584534803,50,90,10,0,0,0,0,0,1,88.24077584534803
1380303000,8.6,8.6,8.6,8.6,8.338620836254737,8.363750000000017,8.61383333333333,NaN,NaN,100,385.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.15235462433678,35.5709197799888,51.15235462433678,35.5709197799888,92.10376134995612,50,90,10,0,0,0,0,0,1,92.10376134995612
1382376600,8.05,8.5,8.05,8.37,8.34489666900379,8.417500000000016,8.591166666666663,NaN,NaN,2353,472.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.42063011802516,39.41754782506031,64.42063011802516,39.41754782506031,36.67819211316586,50,90,10,0,0,0,0,0,1,36.67819211316586
1382549400,8.45,8.45,8.45,8.45,8.365917335203031,8.480000000000015,8.564833333333329,NaN,NaN,800,507.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.27837132950066,40.465657625652355,47.27837132950066,40.465657625652355,55.36394940753026,50,90,10,0,0,0,0,0,1,55.36394940753026
1382556600,8.41,8.41,8.41,8.41,8.374733868162426,8.457500000000014,8.543499999999996,NaN,NaN,100,507.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.932520089039315,41.59457262077061,48.932520089039315,41.59457262077061,42.74904834077184,50,90,10,0,0,0,0,0,1,42.74904834077184
1382639400,8.29,8.29,8.29,8.29,8.357787094529941,8.380000000000013,8.519833333333331,NaN,NaN,200,512.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.08796179066109,42.59369117675601,49.08796179066109,42.59369117675601,18.059485275787054,50,90,10,0,0,0,0,0,1,18.059485275787054
